Latin;English;References;English Latin Pair Matches;Misspelling
Adjuvare;Assist; A. 8248. 8719. E.764.;TRUE;
Adlerheim;Adlerheim;;;
Adma;Admah;;TRUE;
Adminiculum;Aid, An;;;
Administrare;Administer;;TRUE;
Administratio;Administration; D.Love 12. D.Wis.11:4.;TRUE;
Administrator;Administrator;;TRUE;
Administrum;Instrument; J. 30.;;
Admirare;Wonder, To;;;
Admiratio;Wonder;;TRUE;
Admissio;Admission;;TRUE;
Admittere;Admit;;TRUE;
Admonere;Warn;;;
Admonitio;Warning, A;;TRUE;
Adolere;Burn, To;;;
Adolescens;Young (see Adolescence);;;
Adolescentia;Adolescence; H. 166.;TRUE;
Adolescere;Grow up (see Adolescence);;;
Adonai;Adonai; Coro. 51:2. (See A. 2921:2, 4).;;
Adonis;Adonis;;;
Adoptare;Adopt;;TRUE;
Adoptatio;Adoption;;TRUE;
Adorare;Adore;;TRUE;
Adoratio;Adoration;;TRUE;
Adorire;Attack;;;
Adornare;Dress, To;;;
Adplaudere;Clap; M.233:2. 315:12.;;
Adramandoni;Adramandoni;;;
Adsciscere;Associate; D. 4475.;TRUE;
Adscititius;Adscititious;;TRUE;
Adscribere;Ascribe; A. 6481 . T. 562:3.;TRUE;
Adstipulari;Agree; A.5326:2. M. 45. T. 9. 112.;;
Adulla;Adulla;;TRUE;
Adullamita;Adullamite;;TRUE;
Adulter;Adulterer;;TRUE;
Adulterare;Adulterate - Commit adultery; E. 935:2. 1083:5.;;
Adulteratio;Adulteration;;TRUE;
Adulterium;Adultery; E. 803:4. 949:3.;TRUE;
Adultus;Adult;;TRUE;
Adumbrare;Shadow forth (see Shade);;;
Adumbratio;Adumbration (see Shade);;;
Adunare;Unite; M. 447e.;TRUE;
Adurere;Burn, To;;;
Adustio;Burning, A;;;
Advena;Guest, and under Novitiate; H.35.;;
Adventus;Advent;;TRUE;
Adversari;Adverse, To be; D. 4223.;;
Adversarius;Adversary;;TRUE;
Adversatio;Opposition;;TRUE;
Adversus;Adverse; E. 139. 158.;TRUE;
Advertere;Advert;;TRUE;
Adverteutia;Advertence;;;TRUE
Advocatus;Advocate, An;;;
Advolare;Fly to;;;
Adytum;Adytum;;TRUE;
Aedes;Building, A;;;
Aedificare;Build; E. 840:5;TRUE;
Aedificium;Building, A; R. 875:4. J.(Post.) 12.;;
Aegritudo;Sickness;;TRUE;
Aegrotare;Sick, To be;;;
Aegrotus;Sick;;TRUE;
Aegyptiacus, Aegyptius;Egyptian;;;
Aegyptus;Egypt;;TRUE;
Aemulari;Emulate;;TRUE;
Aemulatio;Emulation; M.291.;TRUE;
Aemulus;Emulous; M.281. T. 324.;TRUE;
Aeneus;Brazen;;TRUE;
Aenigma;Enigma; A. 66.;TRUE;
Aenigmaticus;Enigmatical;;TRUE;
Aeolus;Eolus; T. 339.;TRUE;
Aequalis;Equal;;TRUE;
Aequalitas;Equality;;TRUE;
Aequilibrare;Equilibrate;;TRUE;
Aequilibratio;Equilibration;;;
Aequilibrium;Equilibrium;;TRUE;
Aequinoctium;Equinox;;TRUE;
Aequiparare;Compare; H. 223:2. 265. T. 67. 106:2.;TRUE;
Aequitas;Equity;;TRUE;
Aequivalere;Equivalent, To be;;;
Aequivocus;Equivocal;;TRUE;
Aer;Air; T. 178.;TRUE;
Aerarium;Treasury;;TRUE;
Aereus;Aerial;;TRUE;
Aerugo;Rust;;;
Aerumna;Calamity; - Want. M. 294e.;TRUE;
Aerumnosus;Wretched (see Calamity);;;
Aes;Brass; E. 70:2. 355:12. 1147.;TRUE;
Aesculus;Oak, The Italian;;;
Aestas;Summer;;TRUE;
Aestimare;Estimate;;TRUE;
Aestimatio;Estimation;;TRUE;
Aestivus;Summer, Of;;TRUE;
Aestuare;Heated, To be;;TRUE;
Aestuosus;Hot, Very (see Heat - aestus);;;
Aestus;Heat;;TRUE;
Aetas;Age;;TRUE;
Aeternare;Eternize;;TRUE;
Aeternus;Eternal;;TRUE;
Aeternitas;Eternity;;;
Aether;Ether; T. 61. 838:2;TRUE;
Aethereus;Ethereal;;TRUE;
Aethiopia;Ethiopia;;TRUE;
Aethiops;Ethiopian;;TRUE;
Affabilis;Courteous; M. 182.;TRUE;
Affabilitas;Affability;;TRUE;
Affectare;Strive after;;TRUE;
Affectatio;Affectation (see Strive after);;;
Affectio boni;Affection of good;;;
Affectio veri;Affection of truth; E. 863. 863:10. 867:2. 1164:2. 1173:2.;;
Affectio;Affection; E.325:3. 326:12. 803:2. 826:2. 837:2. 865. 1001. 1163. 1185. 1201e. 1202:4. 1214:2.;TRUE;
Affectus;Mood;;TRUE;
Afferre;Bring;;TRUE;
Afficere probris;Revile, To;;;
Afficere;Affect, To; A. 7351.;;
Affinis;Relation by marriage (see Affinity);;;
Affinitas;Affinity; E. 11:2;TRUE;
Affirmare;Affirm;;TRUE;
Affirmatio;Affirmation; M.258.;TRUE;
Afflare;Breathe, or Blow (see Afflatus);;;
Afflatus;Afflatus;;TRUE;
Afflictio;Affliction;;TRUE;
Affligere;Afflict;;TRUE;
Affluere;Flow to (see Afflux);;;
Affluxus;Afflux; T. 160:3.;TRUE;
Affulgere;Shine, To; R. 962:10.;;
Affirmativus;Affirmative;;TRUE;
Africa;Africa;;TRUE;
Ager;Field, A;;;
Agere;Act, To; - Impel, To. A. 2292e. C.J.69.;;
Agger;Dyke;;TRUE;
Agglutinare;Agglutinate, To;;;
Aggravare;Heavy, To make; - Oppress, To.;TRUE;
Aggredi;Attack;;TRUE;
Agitare;Agitate, To; R. 334.;;
Agitatio;Agitation;;TRUE;
Agmen;Body; R. 655:4. D. 1063:2.;TRUE;
Agna;Lamb;;;
Agneta;Agnes;;;TRUE
Agnitio;Acknowledgment;;;
Agnoscere;Acknowledge;;TRUE;
Agnus;Lamb;;;
Agon;Agony; D.Wis. vii.2:2, 4:2.;TRUE;
Agrestis;Wild;;TRUE;
Agricola;Husbandman;;;
Aharon;Aaron; E. 768:19.;TRUE;
Aholiab;Aholiab;;TRUE;
Aj;Ai;;TRUE;
Akkad;Accad;;TRUE;
Ala;Wing, A;;;
Alabastrum;Alabaster;;TRUE;
Alacritas;Alacrity; E.991:3 1057:7.;TRUE;
Alapa;Slap, A;;;
Alatus;Vibratory; - Winged.;;
Albedo;Whiteness;;TRUE;
Albus;White;;TRUE;
Alcohol;Alcohol;;TRUE;
Alcoran;Koran;;;
Alea;Dice (what is uncertain); T. 369.;;
Alere;Feed, To;;;
Alexander;Alexander (the great), (the bishop); T. 632.;;
Alga;Flag, A;;;
Alienigena;Foreigner;;TRUE;
Alienus;Strange;;;
Alimentum;Food;;TRUE;
Aliquamdiu;Some time; R. 871:2.;;
Aliquid;Something;;TRUE;
Aliter;Otherwise; T. 457. 580.;;
Alius;Other;;TRUE;
Allaborare;Labour, To; T. 110:2.;;
Allapsus;Approach, An; A. 7805. 8111.;;
Allectare;Allure; A. 9348:3.;TRUE;
Alleluja;Hallelujah;;;
Allemannia;Germany;;;
Allevare;Lift up;;TRUE;
Allicere;Allure;;TRUE;
Allidere;Dash, To;;;
Alligare;Bind; D. 3640.;;
Allium;Garlic;;;
Alloqui;Speak to (see speak);;;
Alluere;Flow to;;TRUE;
Almodad;Almodad;;;
Aloe;Aloes;;TRUE;
Alpha;Alpha;;TRUE;
Altare;Altar; E. 811:2.;TRUE;
Alte;Highly, Deeply; H. 118.;TRUE;
Alter;Other, The;;TRUE;
Altera vita;Other life, The;;;
Alteratio;Alteration;;TRUE;
Altercari;Dispute, To;;;
Altercatio;Dispute, A;;;
Alternare;Alternate, To;;;
Alternatim;Alternately;;TRUE;
Alternatio;Alternation;;TRUE;
Alternus;Alternate;;;
Altitudo;Height;;TRUE;
Altus;High;;TRUE;
Alumnus;Pupil;;TRUE;
Alvearium;Hive;;TRUE;
Alveus;Channel;;TRUE;
Alvus;Belly; D.Min. 4680.;TRUE;
Amabilis;Loveable; M. 49e. 55 - 4. 56:4.;TRUE;
Amabilitas;Amiableness (see Loveable);;;
Amaleck;Amalek;;TRUE;
Amalekita;Amalekite;;TRUE;
Amare;Love, To;;TRUE;
Amaricare;Bitter, To make;;;
Amaritudo;Bitterness;;TRUE;
Amaror;Bitterness;;;
Amarus;Bitter;;TRUE;
Amasius;Lover;;;
Amator;Lover;;TRUE;
Amaurosis;Amaurosis; D.Love 21:3.;TRUE;
Amaziah;Amaziah;;TRUE;
Ambages;Windings;;TRUE;
Ambigere;Doubt, To; H. 5.;;
Ambiguus;Ambiguous;;TRUE;
Ambire;Compass, To;;;
Ambitio;Ambition;;TRUE;
Ambitus;Compass, A; A. 5343. 7437:2.;;
Ambo;Both;;TRUE;
Ambrosia;Ambrosia;;TRUE;
Ambulacrum;Walk, A;;TRUE;
Ambulare;Walk, To;;TRUE;
Ambulatio;Walking, A;;TRUE;
Ambulatorium;Promenade, A (see Walk);;;
Amen;Amen; D. 5899. D.Wis.11:1a.;TRUE;
Amentia;Madness;;;
Amethystus;Amethyst;;TRUE;
Amianthus;Asbestos;;TRUE;
Amica;Friend;;;
Amice;Friendly; H.462a:7. T. 324.;;
Amicire;Clothe; E. 1222.;TRUE;
Amicitia;Friendship;;TRUE;
Amictus;Clothing; D. 3224. 3226.;TRUE;
Amiculum;Cloak, A;;;
Amicus;Friend;;;
Amita;Aunt;;TRUE;
Amittere;Lose;;TRUE;
Ammon;Ammon;;TRUE;
Ammonita;Ammonite;;TRUE;
Amoenitas;Pleasantness;;;
Amoenus;Pleasant;;TRUE;
Amor Divinus;Divine love;;;
Amor coelestis;Celestial love;;TRUE;
Amor conjugialis;Marriage (or Conjugial) love;;;
