Latin;English;References;English Latin Pair Matches;Misspelling
Conspiratio;Conspiracy; D.5093.;TRUE;
Conspurcare;Defile; E.1054:4.;TRUE;
Conspurcatio;Defilement;;;
Constabilire;Establish; T.112:2. 619:4. 720.;;
Constans;Constant; D.Wis.viii:6.;TRUE;
Constanter;Constantly;;TRUE;
Constantia;Constancy;;TRUE;
Constantinopolis;Constantinople;;TRUE;
Constantinus;Constantine;;TRUE;
Consternare, Consternatio;Consternation; E.659:22. 677:4.;TRUE;
Constipare;Close up, To; - Crowd, To.;;
Constipatio;Closing up, A; - Crowding, A.;;
Constipulare;Stipulate;;;TRUE
Constituere;Constitute; A. 7479. 8269. 9222:4 9416e. E.803:2. 806:3. 936:2.;;
Constitutio;Constitution;;TRUE;
Constrictio;Constriction; E.411;TRUE;
Constructio;Construction;;TRUE;
Construere;Construct;;TRUE;
Consuetudo;Custom;;TRUE;
Consul;Consul;;TRUE;
Consulere;Consult; A. 7454. 8254. H.64:2.;;
Consultatio;Consultation;;TRUE;
Consumere;Consume; A. 7507. 9145.;;
Consummare;Consummate;;TRUE;
Consummatio;Consummation; Dicta Prob. p.11.;TRUE;
Consumptio;Consumption;;TRUE;
Consviere;Sew;;;TRUE
Contabescere;Fade away, To;;;
Contactus;Contact;;;
Contagio;Contagion;;TRUE;
Contagiosus;Contagious;;TRUE;
Contaminare;Contaminate; A. 8806. E.822:5.;TRUE;
Contaminatio;Contamination;;TRUE;
Contegere;Cover, To;;;
Contemnere;Contemn;;TRUE;
Contemplari;Survey, To;;;
Contemtus;Contempt;;TRUE;
Contendere;Contend;;;
Contentio;Contention;;TRUE;
Contentus;Content; A.3425:2.;TRUE;
Conterere;Break in pieces, To; - Grind, (bruise). E.768:5. 900:2.;;
Contestari;Attest; - Protest.;TRUE;
Contestatio;Attestation; D. 5993.;TRUE;
Contexere;Weave; T. 103.;;
Contextura;Contexture; A. 8215:2.;TRUE;
Contextus;Context;;TRUE;
Conticere, Conticescere;Silent, To be;;;
Contignare;Lay beams, To;;;
Contiguitas;Contiguity;;TRUE;
Contiguus;Contiguous; H.184.;TRUE;
Continens;Containant;;TRUE;
Continere;Contain;;TRUE;
Contingere;Happen; A. 5221. 5225. 6480.;;
Continuare;Continue; D.1787.;TRUE;
Continuatio;Continuation;;TRUE;
Continue, Continuo;Continually;;TRUE;
Continuus;Continuous; E.323. D.Wis.2:3. 3:2. Ang.Idea 1.;TRUE;
Contio;Preaching, Sermon;;;
Contionari;Preach;;TRUE;
Contionator;Preacher;;;
Contorquere;Twist, To;;TRUE;
Contortio;Twisting up, A;;TRUE;
Contra;Against;;TRUE;
Contractio;Contraction; A.6811e.;TRUE;
Contradicere;Contradict; D. 5949.;TRUE;
Contradictio;Contradiction;;TRUE;
Contradictorius;Contradictory;;TRUE;
Contrahere;Contract To; A. 3755:4. 5287:2. 6663.;;
Contraniti;Oppose; - Resist.;;
Contrariare;Contrary, To be; A. 7670.;;
Contrarietas;Contrariety;;TRUE;
Contrarius;Contrary;;;
Contremiscere;Tremble;;;
Contribuere;Contribute;;TRUE;
Contritio;Contrition; - Grinding, A.;TRUE;
Contritus;Contrite;;TRUE;
Controversia;Controversy;;TRUE;
Controvertere;Controvert;;TRUE;TRUE
Contubernalis, Contubernium;Dwelling together, and also Tent - companionship; M. 105.;;
Contumacia;Stubbornness;;TRUE;
Contumax;Stubborn;;TRUE;
Contumelia;Insult, An;;;
Contundere;Bruise, To;;;
Contumaciter;Stubbornly;;TRUE;
Contus;Pole;;;
Conus;Cone;;;
Convalescere;Recover;;TRUE;
Convedere;Concede, To;;;TRUE
Convellere;Convulse; T. 758:2;;
Convenienter;Suitably (see Meet);;;
Convenientia;Agreement (see Meet);;;
Convenire;Meet;;;
Conventicula;Conventicle;;TRUE;
Conventio;Agreement (see Meet); T.730:2.;;
Conventus;Assembly (see Meet);;;
Conversari;Converse, To;;;
Conversatio;Conversation; A. 8111. 8117. D. 5785. 6012. D.Min.4545.;;
Conversim;Crosswise;;TRUE;
Conversio;Conversion; D. 1559. Coro.58e.;TRUE;
Convertere;Convert, To; E.381:3.;;
Conviciari;Insult, To;;;
Convictio;Conviction (see Convince);;;
Convincere;Convince; D. 2898. 3171e. 5826. 6043e.;;
Convitium;Insult, An; T. 300e.;;
Convivari;Feast, To;;;
Convivium;Feast, A;;;
Convocare;Call together (see Assembly);;;
Convocatio;Assembly; E.504:11.;TRUE;
Convolvere;Roll together;;TRUE;
Convulsio;Convulsion; T. 500:2 (bodily).;;
Cooperare;Cooperate;;;
Cooperatio;Cooperation; D.Wis.3.3. Coro.29:2.;;
Coordinare;Coordinate, To;;;TRUE
Coordinatio;Coordination;;;
Cophinus;Basket;;TRUE;
Copia;Abundance;;TRUE;
Copula;Couple, A;;;
Copulari;Couple, To; E.710:25.;;
Copulatio;Coupling A; (a wedding). A.5317e.;;
Coquere;Cook, To;;;
Cor;Heart;;TRUE;
Corallium;Coral;;;
Coram;Before; T. 538. 779.;TRUE;
Coran;Koran;;;TRUE
Corbis;Basket;;;
Coriaceus;Leathern;;TRUE;
Coriandrum;Coriander;;TRUE;
Corium;Leather;;TRUE;
Cornea;Cornea;;TRUE;
Corniculum;Horn, Little;;;
Cornifex;Executioner;;;TRUE
Cornu;Horn;;TRUE;
Cornucopia;Cornucopia; T. 375:2.;TRUE;
Cornutus;Horned;;TRUE;
Corolla;Chaplet;;TRUE;
Corollarium;Corollary,;;;
Corona;Crown, A; T. 11, Coro.52.;;
Coronamentum;Coronet;;;
Coronare;Crown, To;;;
Coronatio;Coronation; T. 721.;TRUE;
Coronis;Coronis; (See Coro.8).;TRUE;
Corpora striata;Corpora striata;;;
Corporatura;Embodiment; M. 155a:4.;TRUE;
Corporeus;Corporeal;;;
Corpus humanum;Human body;;TRUE;
Corpus;Body; E.283. - 13. 837:2 889:2. 1004:3. 1071:2. 1092:5.;TRUE;
Corradere;Scrape together, To;;;
Correspondenter;Correspondently;;TRUE;
Correspondentia;Correspondence; E.1050:2. 1080:3 1082:8 D.Love 1010:3. D.Wis.2.;TRUE;
Correspondere;Correspond;;TRUE;
Corrigia;Latchet;;TRUE;
Corripere;Seize;;TRUE;
Corroborare;Strengthen;;TRUE;
Corroboratio;Strengthening, A;;TRUE;
Corrodere;Gnaw;;;
Corrugatio;Corrugation;;TRUE;
Corrumpere;Corrupt, To; A. 7449.;;
Corruptela, Corruptio;Corruption;;;
Corruptor;Corrupter;;TRUE;
Cortex;Bark (see Cortical); T. 455a.;;
Corticalis;Cortical;;;
Cortina;Curtain; E.283:8.;TRUE;
Coruscare;Coruscate;;;
Coruscatio;Coruscation;;TRUE;
Corvus;Raven;;TRUE;
Corylus;Hazel;;TRUE;
Costa;Rib;;TRUE;
Costum;Pomatum;;;
Coturnix;Quail;;;
Crabro;Hornet;;TRUE;
Cranium;Skull;;TRUE;
Crapulare;Intoxicate;;;TRUE
Cras;Tomorrow (see Morrow);;;
Crassamentum;Grossness;;;
Crasse;Grossly;;TRUE;
Crassescere;Gross, To become;;TRUE;
Crassities, Crassitudo;Grossness;;;
Crassus;Gross;;TRUE;
Crastinum;Morrow;;;
Crastinus;Tomorrow's (see Morrow);;;
Crater;Basin;;TRUE;
Crates;Grate;;TRUE;
Creabilis;Creatable;;TRUE;
Creare;Create; E.295. 304:54 609. 1076e. 1201:3e. D.Love 20, 20:2. D.Wis 2, 2:2, 12:5:3.;TRUE;
Creatio;Creation;;TRUE;
Creator;Creator;;TRUE;
Creatrix;Creatress;;TRUE;
Creatura;Creature;;TRUE;
Credere;Believe; E.936:4.1156:2.1182:3;TRUE;
Credulus;Credulous;;TRUE;
Cremare;Burn; D.3296.E.768:25.;TRUE;
Cremaster;Cremaster;;;TRUE
Crepusculum;Twilight;;TRUE;
Crescentia;Growth;;TRUE;
Crescere;Grow;;TRUE;
Cribrare;Sift;;TRUE;
Cribrum;Sieve (see Sift);;;
Crimen;Crime;;TRUE;
Crinis;Hair;;;
Crinitus;Hairy;;TRUE;
Crista;Crest; T. 331:2.;TRUE;
Cristatus;Crested;;TRUE;
Criticus;Critio, Critical;;;TRUE
Crocitare;Croak, To;;;
Crocodilus;Crocodile;;TRUE;
Cruciare;Torment, To;;TRUE;
Cruciatus;Torment;;TRUE;
Crucifigere;Crucify (see Cross);;;
Crucifixio;Crucifixion (see Cross);;;
Crudelis;Cruel;;TRUE;
Crudelitas;Cruelty;;TRUE;
Crudeliter;Cruelly;;TRUE;
Crudus;Raw;;TRUE;
Crumena;Purse;;TRUE;
Cruor;Gore; T. 367:5;TRUE;
Crus;Leg;;TRUE;
Crusta;Shell;;;
Crustaceus;Crustaceous (see Shell);;;
Crux;Cross;;TRUE;
Crypta;Vault;;TRUE;
Crystallinus;Crystalline;;TRUE;
Crystallum;Crystal; E.1087:2.;TRUE;
Cubare;Lie, To;;TRUE;
Cubatio, Cubitus;Lying down, A (see Lie, To);;;
Cubicularius;Chamberlain;;TRUE;
Cubiculum;Bedchamber;;TRUE;
Cubile;Bed; A.7353.;TRUE;
Cubitus;Cubit; (elbow). D.3405e.;TRUE;
Cubulus;Cube;;TRUE;
Cucumis;Cucumber;;TRUE;
Cucurbita;Gourd;;;
Cudere;Stamp, To,;;;
Culina;Kitchen;;TRUE;
Culinarius;Culinary (see Kitchen);;;
Culmen;Summit;;TRUE;
Culmus;Stalk;;TRUE;
Culpa;Fault;;TRUE;
Culpabilis;Culpable (gee Fault);;;
Culter putatorius;Pruninghook;;;TRUE
Culter;Knife;;TRUE;
Cultor;Worshipper;;TRUE;
Cultrarius;Cutthroat;;;
Cultus;Worship;;TRUE;
Cum;With; (as). T. 408. 410:2. (when). T. 596.;TRUE;
Cuminum;Cummin;;TRUE;
Cumulare;Heap, To;;TRUE;
Cumulus;Heap, A;;;
Cunctari;Tarry;;;
Cupediae;Dainties;;TRUE;
Cupere;Desire, To (see also Cupidity);;;
Cupiditas;Cupidity; E.1167.;TRUE;
Cupido;Desire;;;
Cupreus;Copper, Of;;;
Cuprum;Copper; E. 1084:6. 1211:4.;;
Cur?;Why? T; 797:2.;;
Cura;Care;;;
Curare;Care, To;;;
Curare;Cure, To;;;
Curator;Steward;;;
Curia;Councilchamber;;;
Curiositas;Curiosity;;TRUE;
Curiosus;Curious;;TRUE;
Currere;Run, To;;;
Curriculum;Course;;TRUE;
Currus;Chariot,;;;
Cursus;Course;;TRUE;
Curtus;Short;;;
Curvare;Bow, To; E.278:2. 1019:2.;;
Cusch;Ethiopia; E.654:27.;;TRUE
Custodia;Guard, Keeping, Custody;;TRUE;
Custodire;Guard, Keep, To;;;
Custos;Guard, Keeper, Watchman;;TRUE;
Cutaneus;Cutaneous (see Skin);;;
Cuticula;Cuticle;;TRUE;
Cuticularis;Cuticular (see also Skin);;;
Cuticulus;Cuticle (see Skin);;;TRUE
Cutis;Skin;;TRUE;
Cyaneus;Blue, Dark;;TRUE;
Cyanus;Ligure;;TRUE;
Cyathus;Cup; M.14. - e. T.483e;TRUE;
Cyclopes;Cyclops;;TRUE;
Cygnus;Swan;;TRUE;
Cylindrus;Cylinder;;TRUE;
Cymba;Boat; M.442.;TRUE;
Cysticus;Cystic;;TRUE;
Cystus nautica;Compass, A;;;TRUE
Czar;Czar;;TRUE;
Dabilis;Possible (see Give); H. 1762. M. 44:5. 55:4. T. 23. 105. 370. 615. 618.;;
Daemon;Demon; H.471:2. E.455:22.;TRUE;
Daemonophonia;Demonophonia;;TRUE;
Dagon;Dagon; T. 614:2. 630:2.;TRUE;
Dahlborg;Dahlborg;;;TRUE
Damascus;Damascus;;TRUE;
Damnare;Condemn;;TRUE;
Damnatio;Condemnation; E.920.;TRUE;
Damnosus;Hurtful (see Harm);;;
Damnum;Harm;;TRUE;
Dan;Dan;;;
Danemarkia, Dania;Denmark;;TRUE;
Daniel;Daniel;;TRUE;
Danus;Dane (see Denmark);;;
Daphne;Daphne;;TRUE;
Daps;Feast;;TRUE;
Dare;Give;;TRUE;
David;David; E.62:3. 205.2 205.3 768.17;TRUE;
Davus;Davus;;;
Dea;Goddess (see God);;;
Dealbare;White, To make; R.655:4.;TRUE;
Dearare;Plough, To;;;TRUE
Debellare;Vanquish;;TRUE;
Debere;Ought;;TRUE;
Debilis;Weak;;TRUE;
Debilitas;Weakness;;TRUE;
Debitum;Obligation;;;
Deborah;Deborah;;TRUE;
Decachordium;Instrument of ten strings;;TRUE;
Decalogus;Decalogue;;TRUE;
Decantare;Decant; M.64. T. 585:2.;TRUE;
Decantatio;Chanting;;TRUE;
Decantatio;Decantation;;TRUE;
Decedere;Depart; H. 159e.;TRUE;
Decem;Ten;;TRUE;
Decens;Becoming;;;
Decenter;Becomingly;;;
Deceptio;Deception (see Deceive);;;
Decernere;Decree, To;;;
Decessus;Departure;;TRUE;
Decidere;Cut off, To; A. 1857:4.;;
Decidere;Fall down, To;;;
Decimare;Tithe, To (see Ten);;;
Decimatio;Tithing, A (see Ten);;;
Decimus septimus;Seventeenth;;TRUE;
Decimus;Tenth;;TRUE;
Decipere;Deceive;;TRUE;
Decisio;Decision;;TRUE;
Declarare;Declare;;TRUE;
Declaratio;Declaration;;TRUE;
Declinare;Turn aside; M. 78:3.;;
Declinatio;Turning aside, A;;TRUE;
Declive, Declivitas;Declivity;;;
Decollare;Behead;;TRUE;
Decollatio;Beheading, A; A. 9262:6.;;
Decoramentum;Decoration;;TRUE;
Decorare;Decorate;;TRUE;
Decorticare;Peel, To;;;
Decorticatio;Peeling, A;;;
Decorum;Decorum (see Becoming); A. 831. 5570.;;
Decorus;Becoming;;;
Decrescentia. H. 38.;e;;;
Decrescere;Decrease, To;;;
Decretum;Decree; R. 962:12. T. 487. 632. 642.;;
Decumbere;Lie down;;;
Decurtare;Shorten;;TRUE;
Decurtatus;Mutilated;;;
Decus;Ornament;;TRUE;
Decussatim;Crosswise; D. 6067.;TRUE;
Dedan;Dedan;;;
Dedanim;Dedanites;;TRUE;
Deducere;Draw down; - Lead.;TRUE;
Deductio;Drawing down, A;;;
Deesse;Wanting, To be;;TRUE;
Defaecare;Defecate;;TRUE;
Defaecatio;Defecation;;TRUE;
Defectio;Revolt;;TRUE;
Defectus;Failure; M. 304e.;TRUE;
Defendere;Defend;;;
Defensio;Defence;;TRUE;
Deficere;Fail; A. 9156:3. E.386:11.;TRUE;
Deficientia;Failing;;TRUE;
Defiguratio;Defiguration;;;
Definire;Define;;;
Definitio;Definition;;TRUE;
Definitus;Definite;;TRUE;
Deflectere;Bend, To;;;
Deflere;Weep;;;
Deflexio;Bending, A;;;
Deflorare;Deflower;;TRUE;
Defloratio;Defloration; E. 1010:4.;TRUE;
Defluere;Flow down;;TRUE;
Defluxus;Flowing down, A;;;
Deformis;Ugly;;TRUE;
Deformitas;Ugliness;;TRUE;
Defraudare;Defraud (see Fraud);;;
Defraudatio;Defrauding, A (see Fraud);;;
Defunctus;Dead (see Bie - defungi);;;
Defungi;Die;;;
Degenerare;Degenerate, To; E. 817:2.;;
Degere;Pass the time;;TRUE;
Deglutire;Swallow; A.9146e.;TRUE;
Dejectio;Casting down, A;;;
Dejicere;Cast down;;TRUE;
Delabi;Fall down; A. 6368. 6615.;TRUE;
Delectabilis;Delightful;;;
Delectare;Delight, To;;;
Delectatio;Delight;;;
Delegare;Send; R. 791:2.;TRUE;
Delere;Blot out; A. 8875:8. E. 199.;;
Deliberare;Deliberate, To;;;
Deliberatio;Deliberation;;TRUE;
Deliberatus;Deliberate; T. 730:2.;;
Delicate;Delicately; D. 441.;TRUE;
Delicatus;Delicate;;TRUE;
Delineamentum, Delineatio;Delineation;;;
Delineare;Delineate;;TRUE;
Deliquium;Swoon, A;;;
Delirare;Rave (see Delirium);;;
Deliratio, Delirium;Delirium; A. 9278:5. E.887:2.;;
Delitere;Lurk;;TRUE;TRUE
Delitiae, Delitium;Deliciousness;;TRUE;
Delitiari (or Deliciari);Delicate, To;;;
Delitiatio;Deliciation;;TRUE;TRUE
Delitiosus;Delicious;;TRUE;
Deludere;Delude, To;;;
Demens;Mind, Out of;;;
Demensum;Tale;;TRUE;
Demere;Take away; M. 236e.;;
Demetere;Reap;;;
Demisupinatus;Leaning back;;TRUE;
Demittere;Let down;;TRUE;
Democritus;Democritus;;;
Demonstrare;Demonstrate;;TRUE;
Demonstratio;Demonstration;;TRUE;
Demosthenes;Demosthenes;;TRUE;
Denarius;Penny;;TRUE;
Denominatio;Name;;;
Dens;Tooth;;TRUE;
Densitas;Density;;TRUE;
Densus;Dense;;TRUE;
Denudare;Denude,;;;
Denudatio;Denudation;;TRUE;
Denuntiare;Denounce; T. 797:3.;TRUE;
Denuntiatio;Denunciation;;TRUE;
Deorsum;Downwards;;TRUE;
Depauperare;Impoverish;;TRUE;TRUE
Depellere;Drive away;;TRUE;
Dependentia;Dependence;;TRUE;
Dependere;Depend;;TRUE;
Deperdere;Destroy;;;
Dephlegma;Phlegm;;;TRUE
Dephlegmare;Dephlegmate (see Phlegm);;;TRUE
Dephlegmatio;Dephlegmation (see Phlegm);;;
Depingere;Portray;;TRUE;
Deponere;Put off;;TRUE;
Depopulare;Ravage; M. 483:2.;;
Depopulatio;Laying waste, A (see Ravage);;;
Deportatio;Deportation;;TRUE;
Depositio;Putting off, A;;TRUE;
Depraedari;Despoil (see Prey);;;
Depraedationes;Despoilings (see Prey);;;
Depravare;Depraved, To be;;;
Deprehendere;Catch, To; A. 9125.;;
Depressio;Depression (see Press down);;;
Deprimere;Press down;;TRUE;
Deprivare;Deprive;;;
Deprivatio;Deprivation; A. 9139.;;
Depromere;Draw out; A. 9272:5 9340:3.;TRUE;
Derasio;Shaving off, A;;TRUE;
Derelinquere;Forsake;;TRUE;
Derivare;Derive;;TRUE;
Derivatio;Derivation; A. 7779:2. 9141:2.;TRUE;
Derivativus;Derivative; A. 8042e.;TRUE;
Derogare;Derogate;;TRUE;
Descendere;Descend; A. 8931e.;TRUE;
Descensus;Descent;;TRUE;
Desciscere;Fall away; A. 2406.;TRUE;
Describere;Describe;;TRUE;
Descriptio;Description;;TRUE;
Deserere;Desert, To;;;
Desertio;Desertion;;TRUE;
Desertum;Wilderness;;TRUE;
Desertus;Deserted, Desert (see Wilderness);;;
Desiderabilis;Desirable (see Desire);;;
Desiderare;Desire, To; A. 9167:2. 9207. 9268. 9275.;TRUE;
Desidere;Assuage;;TRUE;
Desiderium;Desire; E. 730:8.;;
Designare;Designate; M. 2:3. 20. 50. T. 729:2.;TRUE;
Desinere;Cease;;TRUE;
Desistere;Desist;;TRUE;
Desolare;Desolate, To;;;
Desolatio;Desolation;;TRUE;
Desperare;Despair, To;;;
Desperatio;Despair; A. 8313.;;
Despicere;Look down;;;
Despondere;Despond;;TRUE;
Desponsare;Betroth; T. 73:2.;TRUE;
Desponsatio;Betrothal; E. 730:38. 734:12.;TRUE;
Despoticus;Despotic; T. 813.;TRUE;
Dessau;Dessau;;;
Destinare;Destine;;;
Destitutus;Destitute;;TRUE;
Destructio;Destruction (see Destroy);;;
Destructivus;Destructive (see Destroy);;;
Destructor;Destroyer;;TRUE;
Destruere;Destroy; A. 8295.;TRUE;
Desuescere;Disuse, To;;;
Desuetudo;Disuse;;;
Desumere;Take away;;;
Detectio;Disclosure;;TRUE;
Detegere;Disclose;;TRUE;
Detentio;Withholding, A;;TRUE;
Determinare;Determine;;TRUE;
Determinate;Determinately;;TRUE;
Determinatio;Determination; M. 249. E.889:4.;TRUE;
Deterrere;Deter; T. 797:4. D. 5988.;TRUE;
Detestabilis;Detestable;;TRUE;
Detestari;Detest; E. 803:2. 827:5.;TRUE;
Detestatio;Detestation;;TRUE;
Detinere;Withhold;;TRUE;
Detondere;Shear;;;
Detorquere;Distort;;;
Detractio;Withdrawal (see Draw off);;;
Detrahere;Draw off;;;
Detrimentosus;Detrimental;;TRUE;
Detritus;Rag;;TRUE;
Detrudere;Thrust down;;TRUE;
Deturbare;Disturb;;;
Deucalion;Deucalion;;TRUE;
Deus;God;;TRUE;
Devastare;Devastate; A. 9330. E. 914e. - Vastate.;;
Devastatio;Devastation; - Vastation.;TRUE;
Deviatio;Deviation; M. 385. T. 470:3.;TRUE;
Devolare;Fly, To;;;
Devolutio;Devolution;;TRUE;
Devolvere;Devolve;;TRUE;
Devorare;Devour;;TRUE;
Devoratio;Devouring, A;;;
Devote;Devoutly;;TRUE;
Devotio;Curse (see Accursed);;;
Devotio;Devotion;;TRUE;
Devotus;Devout;;TRUE;
Devovere;Accursed;;TRUE;
Dexter;Right;;TRUE;
Dexteritas;Dexterity;;TRUE;
Dexterus;Dexterous;;TRUE;TRUE
Dextre;Dexterously;;TRUE;
Diabolus;Devil; A. 8273:4. E. 911:6.;TRUE;
Diaconus;Deacon;;TRUE;
Diadema;Diadem;;TRUE;
Diamant;Diamond;;;TRUE
Diametros;Diameter;;TRUE;
Diana;Diana;;TRUE;
Diaphanus;Transparent;;TRUE;
Diaphragma;Diaphragm;;TRUE;
Dibaphus;Doubledyed;;;TRUE
Dibon;Dibon;;TRUE;
Dicare;Set apart;;TRUE;
Dicere;Say;;TRUE;
Dicta;Statements (see Say);;;
Dictamen;Dictate, A;;;
Dictare;Dictate, To;;;
Dictatio;Dictation;;TRUE;
Dictator;Dictator;;TRUE;
Dicterium;Jest, A;;;
Dictio, Dictum;Saying, A;;;
Dictionarium;Dictionary;;TRUE;
Didasculus;Teacher;;TRUE;TRUE
Dideron;Dideron;;TRUE;
Diductio, Diducere;Diduction;;TRUE;TRUE
Diductus;Wide open;;TRUE;
Dies;Day;;TRUE;
Diffamare;Defame;;TRUE;
Differentia;Difference;;;
Differre;Differ;;TRUE;
Differtus;Filled;;;
Difficilis;Difficult; T. 533. 535. D. 5798.;TRUE;
Difficultas;Difficulty;;;
Difficulter;Difficulty; T. 535.;;
Diffindere;Cut asunder;;TRUE;
Diffluere;Dissolve;;;
Diffundere;Diffuse;;TRUE;
Diffusio;Diffusion;;TRUE;
Digerere;Digest;;TRUE;
Digestio;Digestion;;TRUE;
Digitus;Finger;;TRUE;
Dignare;Deign (see Worthy);;;
Digne;Worthily;;TRUE;
Dignitas;Dignity; - Worthiness.;TRUE;
Dignoscere;Know;;TRUE;
Dignus;Worthy; H.71.;TRUE;
Dijudicatio;Dijudication;;TRUE;
Dilabi;Fall to pieces;;TRUE;
Dilaceratio;Rending to pieces, A;;TRUE;
Dilaniare;Tear, To;;;
Dilaniatio;Tearing to pieces, A;;;
Dilatare;Enlarge;;TRUE;
Dilatatio;Enlargement;;TRUE;
Dilatio;Dilation;;TRUE;
Dilectio;Dilection; - Love.;TRUE;
Diligens;Diligent; D.Love xii. Xvii:3.;TRUE;
Diligentia;Diligence;;TRUE;
Diligere;Love, To;;TRUE;
Diluculum;Daybreak;;TRUE;
Diluere;Dissolve; A. 4976. T. 134:4.;TRUE;
Diluvium;Flood;;TRUE;
Dimensio;Dimension;;TRUE;
Dimicare;Fight, To;;;
Dimicatio;Fight, A;;;
Dimidiare;Halve; M.37e.;;
Dimidium;Half;;;
Diminuere;Diminish;;TRUE;
Diminutio;Diminution;;TRUE;
Diminutivus;Diminutive;;TRUE;
Dimissio;Dismissal (see Send away);;;
Dimittere;Send away;;TRUE;
Dimovere;Remove;;;
Dinah;Dinah;;TRUE;
Diogenes;Diogenes;;TRUE;
Dippelius;Dippel;;TRUE;TRUE
Directe;Directly;;TRUE;
Directio;Direction;;TRUE;
Directus;Direct;;;
Direptio;Pillage;;;
Dirigere;Direct, To;;;
Dirimere;Separate, To;;;
Diripere;Pillage, To;;;
Diritas;Direfulness;;TRUE;
Dirus;Direful;;TRUE;
Discalceare;Unshoe;;TRUE;
Discedere;Depart;;TRUE;
Disceptare;Debate, To; A. 9166. E.730:39;;
Disceptatio;Debate;;;
Discere;Learn;;;
Discernere;Discern;;TRUE;
Discerpere;Rend;;TRUE;
Discerptio;Rending, A;;TRUE;
Discerptor;Render, A;;;
Discessus;Departure;;TRUE;
Discidium;Dividing, A, E; 1035:2.;;
Discindere;Rend;;;
Disciplina;Discipline; A. 8737,;TRUE;
Discipulus;Disciple;;TRUE;
Discissio;Rending, A;;TRUE;
Discooperire;Uncover;;TRUE;
Discordantia;Disagreement;;TRUE;
Discordare;Disagree;;TRUE;
Discordia;Discord (see Disagree);;;
Discors;Discordant (see Disagree);;;
Discrepantia;Difference;;TRUE;
Discrepare;Differ;;TRUE;
Discrete;Discretely;;TRUE;
Discretio;Discernment;;TRUE;
Discretus;Discrete; E. 1198.;TRUE;
Discrimen;Difference;;TRUE;
Discriminare;Discriminate;;TRUE;
Discriminatio;Discrimination;;TRUE;
Discurrere;Run about;;TRUE;
Discutere;Disperse; A.9301e. E.950:2. (distinguish). A.4329:3.;;
Disjunctio;Disjunction (see Disjoin);;;
Disjungere;Disjoin;;TRUE;
Disparare;Disappear;;TRUE;
Disparatio;Disappearance;;TRUE;
Dispellere;Dispel;;TRUE;
Dispensare;Dispense; T.364:2.;TRUE;
Dispensatio;Dispensation;;;
Dispensator;Dispenser;;TRUE;
Dispergere;Disperse;;;
Dispersio;Dispersion;;;
Dispertire;Distribute;;TRUE;
Dispescere;Divide; M.237.;;
Displicentia;Displeasure;;TRUE;
Displicere;Displease; A.8027.;TRUE;
Disponere;Dispose;;TRUE;
Disposite;Methodically (see Dispose);;;
Dispositio;Disposition;;TRUE;
Disputare;Debate, To;;;
Disputatio;Debate;;;
Disquirere;Inquire;;TRUE;
Disquisitio;Disquisition; - Inquiry.;TRUE;
Disrumpere;Break in pieces;;TRUE;
Dissecare;Cut to pieces; A.7456:3. T.681:2.;TRUE;
Disseminare;Spread, To;;;
Dissensio, Dissensus;Dissension;;TRUE;
Dissentire;Dissent, To;;;
Disserere;Discuss;;;
Dissidentia;Disagreement;;TRUE;
Dissidere;Disagree;;TRUE;
Dissidium;Disagreement;;TRUE;
Dissimilis;Dissimilar (see Dissimilitude);;;
Dissimiliter;Dissimilarly (see Dissimilitude);;;
Dissimilitudo;Dissimilitude;;;
Dissimulare;Dissemble;;TRUE;
Dissipare;Dissipate; A.7646. 9144. 9216:3. 9282:2.;TRUE;
Dissipatio;Dissipation;;TRUE;
Dissitus;Remote; H.203:2.;TRUE;
Dissociare;Dissociate;;TRUE;
Dissociatio;Dissociation;;TRUE;
Dissolutio;Dissolution;;TRUE;
Dissolutus;Dissolute (see Dissolve);;;
Dissolvere;Dissolve;;TRUE;
Dissuere;Unsew;;;
Distantia;Distance; W.74. E.1219:2.;TRUE;
Distare;Distant, To be;;TRUE;
Distendere;Distend;;TRUE;
Distincte;Distinctly;;TRUE;
Distinctio;Distinction;;TRUE;
Distinctus;Distinct; A.8118.;TRUE;
Distinere;Separate, To;;;
Distinguere;Distinguish;;TRUE;
Distorquere;Distort;;;
Distractio;Pulling asunder, A (see Distract);;;
Distractivus;Distractive;;TRUE;
Distractus;Distracted; (torn to pieces). T.378.;TRUE;
Distrahere;Distract; (pull asunder). A.35.;TRUE;
Distribuere;Distribute;;TRUE;
Distributio;Distribution;;TRUE;
Disturbare;Disturb; D.490.;;
Disunio;Disunion;;TRUE;
Disunire;Disunite;;TRUE;
Ditare;Enrich (and also under Rich);;;
Ditescere;Rich, To become;;TRUE;
Ditio;Jurisdiction;;;
Diurnus;Diurnal;;TRUE;
Diuturnitas;Long duration;;TRUE;
Divagare;Wander;;;
Divaricare;Divaricate;;TRUE;
Divaricatio;Divarication;;TRUE;
Divellere;Pluck away; T.385:4.;TRUE;
Diversitas;Diversity;;TRUE;
Diversoria;Diversions;;TRUE;
Diversorium;Inn;;TRUE;
Diversus;Diverse; A.8998.;TRUE;
Dives;Rich;;TRUE;
Dividere;Divide;;;
Divina sapientia;Divine wisdom;;;
Divinare;Divine, To;(guess). M.54. 111.;;
Divinatio;Divination;;TRUE;
Divinator;Diviner; T.560.;TRUE;
